"START,GOAL",Metrics,LADy,D* lite,Hybrid,,,,,
"(12,5),(25,26)",Path length (in steps),38,30,37,,,LA*Dy,D* lite,Hybrid
,Time (in s),8,6.6,7.8,,"(12,5),(25,26)",38,30,37
,Memory (in KB),20.5,3.9,37.5,,"(12,5),(33,16)",35,22,34
,Nodes,656,127,656,,"(12,5),(33,11)",33,21,30
,Replans,4,21,0,,"(12,5),(29,25)",40,25,42
"(12,5),(33,16)",Path length (in steps),35,22,34,,"(12,5),(8,10)",11,6,16
,Time (in s),8.5,6.8,7.1,,"(8,13),(25,26)",44,25,33
,Memory (in KB),20.5,1.8,37.5,,"(8,13),(33,16)",33,26,30
,Nodes,656,58,656,,"(8,13),(33,11)",30,25,40
,Replans,12,23,0,,"(8,13),(29,25)",38,25,37
"(12,5),(33,11)",Path length (in steps),33,21,30,,"(8,13),(8,10)",4,3,6
,Time (in s),9.7,5.6,6.3,,"(35,2),(25,26)",45,30,45
,Memory (in KB),20.5,1.5,37.5,,"(35,2),(33,16)",40,24,41
,Nodes,656,47,656,,"(35,2),(33,11)",34,17,35
,Replans,22,16,0,,"(35,2),(29,25)",43,29,43
"(12,5),(29,25)",Path length (in steps),40,25,42,,"(35,2),(8,10)",45,33,37
,Time (in s),8.3,5.8,8.8,,"(2,9),(25,26)",180,49,78
,Memory (in KB),20.5,7.8,37.5,,"(2,9),(33,16)",86,47,60
,Nodes,656,249,656,,"(2,9),(33,11)",65,42,63
,Replans,2,19,1,,"(2,9),(29,25)",101,60,55
"(12,5),(8,10)",Path length (in steps),11,6,16,,"(2,9),(8,10)",48,26,30
,Time (in s),2.5,1.5,3.4,,"(22,13),(25,26)",19,14,15
,Memory (in KB),20.5,0.2,37.5,,"(22,13),(33,16)",16,11,19
,Nodes,656,8,656,,"(22,13),(33,11)",14,12,15
,Replans,1,3,0,,"(22,13),(29,25)",22,14,17
"(8,13),(25,26)",Path length (in steps),44,25,33,,"(22,13),(8,10)",24,25,17
,Time (in s),9.3,5.4,6.9,,,,,
,Memory (in KB),20.5,6.2,37.5,,,,,
,Nodes,656,199,656,,,,,
,Replans,10,18,0,,,,,
"(8,13),(33,16)",Path length (in steps),33,26,30,,,,,
,Time (in s),9.1,7.6,6.3,,,LA*Dy,D* lite,Hybrid
,Memory (in KB),20.5,1.2,37.5,,"(12,5),(25,26)",8,6.6,7.8
,Nodes,656,38,656,,"(12,5),(33,16)",8.5,6.8,7.1
,Replans,20,28,0,,"(12,5),(33,11)",9.7,5.6,6.3
"(8,13),(33,11)",Path length (in steps),30,25,40,,"(12,5),(29,25)",8.3,5.8,8.8
,Time (in s),6.4,6.3,8.3,,"(12,5),(8,10)",2.5,1.5,3.4
,Memory (in KB),20.5,0.8,37.5,,"(8,13),(25,26)",9.3,5.4,6.9
,Nodes,656,26,656,,"(8,13),(33,16)",9.1,7.6,6.3
,Replans,2,21,0,,"(8,13),(33,11)",6.4,6.3,8.3
"(8,13),(29,25)",Path length (in steps),38,25,37,,"(8,13),(29,25)",8,6.1,7.7
,Time (in s),8,6.1,7.7,,"(8,13),(8,10)",1.1,1,1.6
,Memory (in KB),20.5,8.8,37.5,,"(35,2),(25,26)",9.5,8,9.3
,Nodes,656,281,656,,"(35,2),(33,16)",9.3,11.5,8.5
,Replans,8,18,1,,"(35,2),(33,11)",8.9,4.9,7.3
"(8,13),(8,10)",Path length (in steps),4,3,6,,"(35,2),(29,25)",9.2,7.2,9
,Time (in s),1.1,1,1.6,,"(35,2),(8,10)",11.2,8.4,8.1
,Memory (in KB),20.5,0.1,37.5,,"(2,9),(25,26)",39.6,15,16.6
,Nodes,656,4,656,,"(2,9),(33,16)",17.9,33.7,12.8
,Replans,0,1,0,,"(2,9),(33,11)",15.4,19.3,13.5
"(35,2),(25,26)",Path length (in steps),45,30,45,,"(2,9),(29,25)",21.9,17.2,11.9
,Time (in s),9.5,8,9.3,,"(2,9),(8,10)",9.9,23.7,6.7
,Memory (in KB),20.5,2.8,37.5,,"(22,13),(25,26)",4.2,3.1,3.7
,Nodes,656,87,656,,"(22,13),(33,16)",17.9,4.1,4.4
,Replans,9,29,0,,"(22,13),(33,11)",3.1,4.4,3.7
"(35,2),(33,16)",Path length (in steps),40,24,41,,"(22,13),(29,25)",4.7,3.8,4.1
,Time (in s),9.3,11.5,8.5,,"(22,13),(8,10)",5.1,5.5,4
,Memory (in KB),20.5,5.7,37.5,,,,,
,Nodes,656,185,656,,,,,
,Replans,11,43,1,,,,,
"(35,2),(33,11)",Path length (in steps),34,17,35,,,,,
,Time (in s),8.9,4.9,7.3,,,,,
,Memory (in KB),20.5,6.3,37.5,,,LA*Dy,D* lite,Hybrid
,Nodes,656,202,656,,"(12,5),(25,26)",20.5,3.9,37.5
,Replans,13,16,1,,"(12,5),(33,16)",20.5,1.8,37.5
"(35,2),(29,25)",Path length (in steps),43,29,43,,"(12,5),(33,11)",20.5,1.5,37.5
,Time (in s),9.2,7.2,9,,"(12,5),(29,25)",20.5,7.8,37.5
,Memory (in KB),20.5,9.4,37.5,,"(12,5),(8,10)",20.5,0.2,37.5
,Nodes,656,303,656,,"(8,13),(25,26)",20.5,6.2,37.5
,Replans,3,25,1,,"(8,13),(33,16)",20.5,1.2,37.5
"(35,2),(8,10)",Path length (in steps),45,33,37,,"(8,13),(33,11)",20.5,0.8,37.5
,Time (in s),11.2,8.4,8.1,,"(8,13),(29,25)",20.5,8.8,37.5
,Memory (in KB),20.5,5.2,37.5,,"(8,13),(8,10)",20.5,0.1,37.5
,Nodes,656,166,656,,"(35,2),(25,26)",20.5,2.8,37.5
,Replans,22,31,0,,"(35,2),(33,16)",20.5,5.7,37.5
"(2,9),(25,26)",Path length (in steps),180,49,78,,"(35,2),(33,11)",20.5,6.3,37.5
,Time (in s),39.6,15,16.6,,"(35,2),(29,25)",20.5,9.4,37.5
,Memory (in KB),20.5,9.6,37.5,,"(35,2),(8,10)",20.5,5.2,37.5
,Nodes,656,308,656,,"(2,9),(25,26)",20.5,9.6,37.5
,Replans,82,60,0,,"(2,9),(33,16)",20.5,10.3,37.5
"(2,9),(33,16)",Path length (in steps),86,47,60,,"(2,9),(33,11)",20.5,1.1,37.5
,Time (in s),17.9,33.7,12.8,,"(2,9),(29,25)",20.5,13.3,37.5
,Memory (in KB),20.5,10.3,37.5,,"(2,9),(8,10)",20.5,9.9,37.5
,Nodes,656,329,656,,"(22,13),(25,26)",20.5,1.7,37.5
,Replans,25,137,0,,"(22,13),(33,16)",20.5,4.8,37.5
"(2,9),(33,11)",Path length (in steps),65,42,63,,"(22,13),(33,11)",20.5,0.7,37.5
,Time (in s),15.4,19.3,13.5,,"(22,13),(29,25)",20.5,1.6,37.5
,Memory (in KB),20.5,1.1,37.5,,"(22,13),(8,10)",20.5,3.2,37.5
,Nodes,656,35,656,,,,,
,Replans,21,78,0,,,,,
"(2,9),(29,25)",Path length (in steps),101,60,55,,,,,
,Time (in s),21.9,17.2,11.9,,,,,
,Memory (in KB),20.5,13.3,37.5,,,,,
,Nodes,656,428,656,,,LA*Dy ,D* lite,Hybrid
,Replans,39,69,0,,"(12,5),(25,26)",656,127,656
"(2,9),(8,10)",Path length (in steps),48,26,30,,"(12,5),(33,16)",656,58,656
,Time (in s),9.9,23.7,6.7,,"(12,5),(33,11)",656,47,656
,Memory (in KB),20.5,9.9,37.5,,"(12,5),(29,25)",656,249,656
,Nodes,656,320,656,,"(12,5),(8,10)",656,8,656
,Replans,12,93,0,,"(8,13),(25,26)",656,199,656
"(22,13),(25,26)",Path length (in steps),19,14,15,,"(8,13),(33,16)",656,38,656
,Time (in s),4.2,3.1,3.7,,"(8,13),(33,11)",656,26,656
,Memory (in KB),20.5,1.7,37.5,,"(8,13),(29,25)",656,281,656
,Nodes,656,65,656,,"(8,13),(8,10)",656,4,656
,Replans,3,8,1,,"(35,2),(25,26)",656,87,656
"(22,13),(33,16)",Path length (in steps),16,11,19,,"(35,2),(33,16)",656,185,656
,Time (in s),17.9,4.1,4.4,,"(35,2),(33,11)",656,202,656
,Memory (in KB),20.5,4.8,37.5,,"(35,2),(29,25)",656,303,656
,Nodes,656,155,656,,"(35,2),(8,10)",656,166,656
,Replans,78,10,0,,"(2,9),(25,26)",656,308,656
"(22,13),(33,11)",Path length (in steps),14,12,15,,"(2,9),(33,16)",656,329,656
,Time (in s),3.1,4.4,3.7,,"(2,9),(33,11)",656,35,656
,Memory (in KB),20.5,0.7,37.5,,"(2,9),(29,25)",656,428,656
,Nodes,656,23,656,,"(2,9),(8,10)",656,320,656
,Replans,0,13,0,,"(22,13),(25,26)",656,65,656
"(22,13),(29,25)",Path length (in steps),22,14,17,,"(22,13),(33,16)",656,155,656
,Time (in s),4.7,3.8,4.1,,"(22,13),(33,11)",656,23,656
,Memory (in KB),20.5,1.6,37.5,,"(22,13),(29,25)",656,51,656
,Nodes,656,51,656,,"(22,13),(8,10)",656,104,656
,Replans,2,10,1,,,,,
"(22,13),(8,10)",Path length (in steps),24,25,17,,,,,
,Time (in s),5.1,5.5,4,,,,,
,Memory (in KB),20.5,3.2,37.5,,,,,
,Nodes,656,104,656,,,,,
,Replans,4,17,0,,,LA*Dy,D* lite,Hybrid
,,,,,,"(12,5),(25,26)",4,21,0
,,,,,,"(12,5),(33,16)",12,23,0
,,,,,,"(12,5),(33,11)",22,16,0
,,,,,,"(12,5),(29,25)",2,19,1
,,,,,,"(12,5),(8,10)",1,3,0
,,,,,,"(8,13),(25,26)",10,18,0
,,,,,,"(8,13),(33,16)",20,28,0
,,,,,,"(8,13),(33,11)",2,21,0
,,,,,,"(8,13),(29,25)",8,18,1
,,,,,,"(8,13),(8,10)",0,1,0
,,,,,,"(35,2),(25,26)",9,29,0
,,,,,,"(35,2),(33,16)",11,43,1
,,,,,,"(35,2),(33,11)",13,16,1
,,,,,,"(35,2),(29,25)",3,25,1
,,,,,,"(35,2),(8,10)",22,31,0
,,,,,,"(2,9),(25,26)",82,60,0
,,,,,,"(2,9),(33,16)",25,137,0
,,,,,,"(2,9),(33,11)",21,78,0
,,,,,,"(2,9),(29,25)",39,69,0
,,,,,,"(2,9),(8,10)",12,93,0
,,,,,,"(22,13),(25,26)",3,8,1
,,,,,,"(22,13),(33,16)",78,10,0
,,,,,,"(22,13),(33,11)",0,13,0
,,,,,,"(22,13),(29,25)",2,10,1
,,,,,,"(22,13),(8,10)",4,17,0